aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
abacus= दांड्यावर सरकणारे मणी , गोट्य असलेली चौकट, 
abaft= मागील बाजूस, गलबताच्या मागील बाजूस, 
abandon= पूर्णपणे सोडून देणे, द्रुष्टपणे सोडून देणे, परत न येण्याच्या इराद्याने सोडून देणे
abase= मानभंग करणे, बदनामी करणे, श्रुद्र लेखणे
abash= गोंधळवणे, शरमणे, लज्जित होणे
abate= कमी होणे, ओसरणे, 
abatis= तोडलेले वृक्ष, फांद्या , काटेरी तारा
abattoir= कत्तलखाना, खाटीकखाना, 
abbe= फ्रान्समधील ख्रिस्ती धर्मोपदेशक, धर्मगुरूची सन्मानदर्शक पदवी, 
abbess= माठस्वामिनी, , 
abbey= पाद्री व जोगिणींचे वास्तव्य असलेली इमारत, , 
abbot= प्रमुख पाद्री, महंताचे पद, 
abbreviate= संक्षिप्त करणे, , 
ABC= इंग्रजी वर्णमालेतील अक्षरे, , 
abdicate= सोडून देणे, पदत्याग करणे, 
abdomen= पोट, उदर, 
abduct= सक्तीने पळवून नेणे, , 
abecedarian= आद्याक्षरानुसार मांडणी असलेले, , 
aberrance= योग्य मार्गाचा त्याग, स्खलन, 
aberration= नितीभ्रष्टता , मार्गस्खलन, विपथन
abet= वाईट कृत्यात साथ देणे, गुन्ह्यला प्रोत्साहन देणे, 
abeyance= तात्पुरती तहकूबी, स्थगिती, 
abhor= तिटकारा करणे, किळस काणे, 
abide= संगती सहन करणे, , 
ability= सामर्थ्य, कर्तुत्व, क्षमता
abject= अत्यंत दरिद्री, हतभागी, क्षुद्र
abjure= शपथपूर्वक त्याग करणे, , 
ablative= पंचमी विभक्ती, अपादान, 
ablaze= पेटलेला, प्रज्वलित, 
able= समर्थ, कुशल, 
ably= समर्थपणे, कुशलतापूर्वक, 
abnegate= चा परित्याग करणे, आत्मसंयमान काणे, 
abnormal= नेहमीपेकक्षा भिन्न, अपवादात्मक, 
aboard= वर, आत, 
abode= निवास स्थान, घर, 
abode= abide या क्रियापदाचे भू.का व भू.का.धा, , 
abloish= नाहीसे करणे, निर्मलन करणे, 
abolition= अंत, शेवट, उच्चटन
abominable= निंद्य, घृणास्पद, किळसवाणे
abominate= अत्यंत तिरस्कार करणे, , 
aboriginal= अगदी मुळचा, आद्य, 
aborigine= एखाद्या देशाचा मुळचा रहिवासी, आदिवासी, 
abort= गर्भपात होणे, , 
abound= विपुल, भरगच्च, समृद्ध असणे
about= सभोवार, , 
about-turn= काल, रोख, मत
above= च्यावर, वरती, 
abrade= खरचटणे, , 
abrasion= ओरखडा, अपघर्षण, 
abreast= बरोबरीने, एकाच दिशेने जाऊन, 
abridge= संक्षिप्त करणे, , 
abroad= देशाबाहेर, परदेशी, देशांतरास
abrogate= रद्द करणे, बंद करणे, 
abrupt= आकस्मित, अनपेक्षित, 
abscess= गळू, , 
